Hours_Studied,Attendance,Previous_Scores,Motivation_Level,Family_Income,Teacher_Quality,School_Type,Parental_Education_Level,Exam_Score
16,66,79,High,High,High,Private,College,66
22,65,66,High,Medium,Medium,Public,High School,65
10,98,82,Medium,High,Medium,Public,College,69
23,92,52,High,High,Medium,Private,High School,71
20,67,67,High,Medium,High,Public,College,66
23,76,57,High,Medium,Medium,Public,High School,66
21,74,61,Low,Low,Medium,Private,High School,65
28,92,69,Medium,Low,Medium,Public,High School,71
21,80,75,High,Medium,High,Private,High School,69
17,65,55,Medium,Low,Medium,Public,High School,61
21,90,55,High,Low,High,Public,High School,70
23,76,84,High,High,Medium,Public,College,70
20,71,70,High,High,High,Public,High School,65
20,75,59,Medium,Medium,Medium,Public,Postgraduate,64
16,80,62,Low,High,Medium,Public,Postgraduate,68
16,74,86,Low,Low,Medium,Private,High School,63
12,70,53,Medium,Low,Medium,Private,College,63
30,76,75,Low,High,Medium,Public,College,71
13,61,68,Low,Medium,Medium,Public,High School,58
16,91,91,Medium,Medium,Medium,Public,High School,68
16,67,90,High,High,Low,Public,High School,65
25,62,84,Low,Low,Medium,Public,College,65
18,86,69,Low,Medium,High,Public,High School,68
27,91,82,Medium,Low,Low,Public,High School,69
16,93,82,Low,High,Medium,Public,High School,71
22,80,67,Low,Low,Low,Private,Postgraduate,65
15,68,94,Low,Medium,High,Public,Postgraduate,64
33,89,99,Medium,High,High,Private,College,75
13,88,66,Low,Low,High,Public,High School,67
22,70,90,High,Medium,High,Public,College,68
24,96,75,Low,Medium,Medium,Public,College,72
22,64,73,High,Medium,Medium,Public,Postgraduate,67
19,99,69,Medium,High,Medium,Public,High School,72
19,94,65,High,Low,High,Public,Postgraduate,69
20,88,96,Low,High,High,Public,Postgraduate,68
19,98,87,Medium,Medium,Medium,Private,High School,70
26,89,72,High,Low,Medium,Public,College,69
33,68,88,Medium,Low,Medium,Public,College,67
17,78,86,Medium,Low,Low,Public,College,63
12,63,63,Low,Low,Medium,Private,High School,61
19,76,59,Medium,Medium,Medium,Public,High School,66
35,90,92,Low,Low,Medium,Private,High School,73
15,75,91,High,Medium,High,Public,College,67
30,73,100,Medium,High,High,Public,High School,72
30,84,51,Low,Low,Medium,Public,Postgraduate,69
17,95,77,Medium,Medium,Medium,Public,High School,69
23,62,85,Medium,Low,Medium,Public,College,63
30,75,79,Low,Medium,Medium,Public,High School,67
18,66,86,Medium,High,Medium,Public,High School,63
19,88,57,Low,Medium,Low,Private,College,66
17,64,50,Medium,Low,High,Public,High School,62
14,87,55,Medium,Low,High,Private,Postgraduate,68
16,71,69,Medium,Low,Medium,Public,Postgraduate,65
13,68,66,Medium,Medium,Low,Public,College,59
20,97,94,High,Medium,Medium,Public,College,72
15,61,54,Medium,High,High,Private,Postgraduate,63
21,78,72,Medium,Medium,High,Public,Postgraduate,68
11,61,98,High,Medium,High,Public,High School,61
22,79,75,Low,Low,High,Private,High School,65
25,80,57,Low,Low,High,Public,High School,68
8,73,65,High,Low,Medium,Public,College,61
22,65,81,Medium,Low,,Private,Postgraduate,63
27,75,51,High,Medium,Low,Public,Postgraduate,67
13,87,98,Low,High,High,Public,Postgraduate,66
30,91,78,High,Medium,Medium,Private,Postgraduate,75
23,81,85,Low,Medium,Medium,Public,High School,68
16,84,75,High,Medium,Medium,Public,High School,65
20,68,98,High,Low,High,Public,High School,64
23,71,79,Medium,Low,Medium,Public,,67
20,66,83,Medium,Low,Medium,Private,College,64
23,70,93,Medium,Low,High,Public,Postgraduate,67
14,69,93,Low,Low,Medium,Private,High School,63
21,81,51,Medium,Medium,Medium,Private,College,67
12,83,64,Medium,High,Medium,Private,Postgraduate,65
19,98,62,High,Low,High,Public,High School,70
15,68,50,High,High,Low,Public,High School,62
16,86,94,Medium,Low,High,Public,High School,69
27,93,66,Medium,Medium,Medium,Public,College,70
27,82,67,Low,Low,High,Private,High School,68
24,70,55,Medium,Low,High,Public,Postgraduate,68
13,71,99,Medium,Low,Medium,Public,Postgraduate,64
18,62,91,High,Low,Medium,Private,High School,63
27,72,79,Medium,High,High,Public,Postgraduate,68
21,90,89,Low,Low,Low,Public,High School,67
34,62,89,Low,Low,Medium,Private,College,68
22,69,83,Medium,Low,Medium,Public,College,66
21,88,59,Low,Medium,Medium,Private,Postgraduate,67
18,91,86,High,Medium,Medium,Public,High School,69
21,78,78,Medium,High,Medium,Private,,68
19,88,86,Medium,Medium,Medium,Public,College,70
24,76,77,Medium,Medium,Medium,Private,Postgraduate,68
26,66,98,Medium,Low,Medium,Public,College,66
15,76,81,Medium,Low,Medium,Private,Postgraduate,67
12,83,79,Medium,High,Low,Public,High School,65
9,98,92,Medium,Medium,Medium,Public,High School,67
23,63,69,High,Medium,Low,Public,High School,63
13,80,66,High,Low,Medium,Public,High School,64
7,73,75,Medium,Low,Medium,Public,College,64
22,80,79,High,Medium,Medium,Private,College,66
35,61,61,Low,Medium,Medium,Private,High School,68
20,73,84,High,Medium,Medium,Public,High School,67
25,93,90,Low,Medium,Medium,Public,College,72
20,82,79,Low,Low,Medium,Public,High School,67
19,78,76,High,Medium,Low,Public,College,66
26,71,65,Medium,Low,Medium,Public,College,66
18,72,95,Medium,Medium,Medium,Public,High School,67
22,75,88,Low,Low,Medium,Private,Postgraduate,65
22,93,74,Low,Medium,High,Public,College,70
16,99,83,Low,Low,High,Private,Postgraduate,69
26,78,67,Low,High,High,Private,High School,69
19,76,53,Medium,Medium,Medium,Public,College,66
15,94,60,Medium,Medium,Medium,Public,High School,66
23,77,54,Medium,Low,Medium,Public,College,67
15,82,75,Medium,Medium,Low,Public,High School,67
20,69,81,High,Medium,Medium,Public,High School,67
20,90,69,Medium,High,High,Public,High School,72
27,81,77,Low,Medium,High,Public,College,68
23,92,54,High,Medium,Medium,Public,Postgraduate,70
20,91,88,Medium,Low,Medium,Public,High School,69
25,69,52,High,Low,Medium,Public,High School,65
28,89,82,Medium,Medium,Medium,Public,Postgraduate,72
23,92,72,Medium,Low,Medium,Public,College,69
20,74,59,Low,High,Medium,Public,High School,68
12,67,76,High,Low,Medium,Public,High School,62
14,60,89,Low,Medium,Medium,Public,High School,60
18,78,71,Low,Medium,Medium,Public,High School,67
16,74,68,Low,Medium,Medium,Public,College,67
19,82,57,Medium,Medium,Medium,Public,High School,67
20,68,80,Low,Low,Medium,Private,High School,63
23,94,91,High,Medium,Medium,Public,High School,71
20,70,78,High,Medium,Medium,Private,College,66
23,69,58,High,Medium,Medium,Public,Postgraduate,65
20,79,83,High,Medium,Medium,Public,High School,69
8,80,52,High,Medium,Medium,Public,High School,63
14,69,92,High,Low,Low,Public,Postgraduate,64
19,71,96,High,Low,Medium,Private,College,67
13,67,80,High,Low,High,Public,High School,62
24,89,94,Low,Medium,Medium,Public,High School,68
29,91,54,Low,Low,,Public,Postgraduate,71
27,78,61,Medium,Low,Medium,Public,High School,66
19,89,66,Low,Low,Medium,Public,Postgraduate,69
29,89,89,Low,Medium,High,Private,High School,71
21,66,74,Medium,Medium,High,Private,High School,66
18,99,67,Medium,Low,Medium,Public,Postgraduate,72
16,93,58,Medium,High,High,Public,College,70
18,68,91,High,Low,High,Private,Postgraduate,65
18,67,51,Medium,Medium,High,Public,College,64
21,65,67,Medium,Low,Medium,Public,College,63
21,66,62,Low,Medium,Medium,Private,High School,63
20,90,56,Medium,Medium,Medium,Public,High School,66
23,79,59,Low,Low,High,Public,College,68
27,91,75,Low,High,High,Public,College,74
26,90,71,Low,High,Low,Private,College,71
11,84,76,High,Low,High,Public,High School,67
5,87,86,Medium,Medium,High,Public,Postgraduate,66
26,61,95,Medium,Medium,Medium,Private,College,67
12,72,56,High,Low,Medium,Public,High School,62
19,86,54,Low,High,High,Private,Postgraduate,68
13,60,66,Medium,Low,Medium,Public,Postgraduate,62
9,61,77,Low,High,Medium,Private,High School,82
23,94,55,High,Medium,Medium,Public,High School,70
25,87,86,Medium,Medium,Low,Private,College,72
17,71,78,Low,Medium,Medium,Public,College,64
4,88,87,Low,Medium,High,Public,College,66
17,92,68,High,Medium,Low,Private,College,68
22,72,70,Low,High,Medium,Public,Postgraduate,64
11,61,90,High,Medium,High,Public,High School,61
21,97,63,Medium,Medium,Medium,Public,High School,69
20,74,69,Low,High,High,Private,College,68
23,64,51,Medium,Medium,Medium,Public,College,64
21,80,78,Medium,Low,High,Private,High School,67
14,91,93,Medium,Medium,Medium,Public,High School,67
27,69,51,Medium,High,Medium,Public,High School,65
19,71,81,Medium,Medium,High,Public,High School,68
20,70,92,Medium,Medium,Low,Public,High School,67
14,100,75,Low,Low,,Public,Postgraduate,67
17,68,66,Medium,High,Medium,Public,High School,64
15,83,100,Medium,Medium,Medium,Public,College,70
19,97,53,Medium,Low,Low,Private,College,69
30,66,61,Low,High,High,Private,High School,66
12,99,94,Medium,Medium,Medium,Public,Postgraduate,69
10,98,65,Medium,Low,High,Private,High School,66
29,95,91,Low,Low,Medium,Public,High School,73
19,69,67,Medium,High,High,Private,Postgraduate,66
16,85,91,High,Medium,Medium,Public,Postgraduate,69
26,90,84,Low,Medium,Medium,Public,High School,70
16,99,73,High,Medium,Medium,Private,College,71
31,67,76,Medium,Medium,High,Public,College,70
24,91,59,Medium,Low,Medium,Private,High School,69
17,74,56,Medium,Medium,High,Private,High School,63
33,67,86,Medium,Medium,High,Public,High School,71
16,77,92,Low,Medium,Medium,Public,College,67
24,92,86,High,Medium,High,Public,High School,73
22,79,96,Medium,High,Medium,Public,College,68
28,82,95,Medium,High,Low,Public,High School,69
29,100,89,Medium,Medium,Medium,Private,High School,76
20,76,95,Medium,Low,High,Public,High School,68
15,85,58,High,Low,Medium,Private,College,65
23,75,87,Low,High,Low,Public,High School,66
16,76,88,High,Low,Medium,Public,Postgraduate,65
32,88,58,Low,Low,High,Private,High School,69
21,98,95,Medium,Medium,Medium,Public,High School,71
18,82,50,Medium,High,Medium,Public,High School,66
21,91,72,Medium,Low,Medium,Public,High School,69
12,64,51,Low,Low,Medium,Public,College,59
14,68,76,Medium,High,Medium,Public,High School,65
27,80,71,High,Low,Low,Public,College,72
16,61,81,Medium,Medium,Medium,Public,College,60
14,70,88,Low,High,Medium,Private,College,64
23,81,88,Low,Low,Medium,Public,Postgraduate,69
27,61,86,Medium,Medium,High,Private,High School,70
24,71,55,Low,High,Medium,Public,College,67
26,81,71,Low,Medium,Medium,Private,High School,67
15,83,91,Medium,Low,Medium,Private,College,64
11,97,83,Low,Medium,High,Private,High School,68
29,86,84,Low,Low,High,Private,High School,72
18,77,61,Medium,Low,Medium,Private,High School,65
18,97,66,Low,Medium,Medium,Public,College,70
28,91,98,Low,Low,Medium,Private,Postgraduate,75
23,68,92,Medium,Low,High,Private,High School,65
23,65,58,Low,Low,Medium,Public,College,63
33,87,77,Low,Low,Medium,Private,High School,71
16,82,75,Medium,Medium,Medium,Public,College,66
26,92,72,Medium,Low,Medium,Private,High School,69
20,90,74,Low,High,Low,Private,Postgraduate,68
22,85,82,Medium,Medium,High,Public,Postgraduate,71
29,99,98,High,Low,Low,Public,Postgraduate,77
23,81,94,High,Medium,High,Public,College,70
23,65,94,Medium,High,Medium,Public,College,66
26,93,85,Low,High,High,Public,College,73
18,70,51,Medium,Low,Medium,Private,College,62
15,91,72,Low,Medium,Medium,Public,High School,65
14,98,76,Medium,Low,Medium,Public,Postgraduate,71
8,88,92,High,Low,Medium,Public,College,66
32,84,96,Medium,Low,Medium,Public,High School,72
13,78,73,Medium,Medium,High,Private,High School,64
19,75,65,Low,Low,Low,Private,High School,63
18,74,67,Low,Low,Medium,Public,High School,63
22,85,79,High,Medium,High,Public,High School,72
25,90,64,Medium,Medium,High,Public,High School,71
25,87,96,Low,Medium,Medium,Public,High School,72
17,68,71,Medium,Medium,High,Private,High School,65
19,80,100,Medium,Medium,Medium,Public,High School,67
22,92,55,Low,Low,Medium,Public,High School,68
19,79,59,Medium,Low,Medium,Private,Postgraduate,66
30,81,76,Medium,High,Medium,Public,Postgraduate,72
23,91,93,Medium,Low,Low,Public,High School,71
24,86,68,Low,Low,High,Public,College,70
24,76,92,Medium,Medium,Low,Public,Postgraduate,68
27,96,71,Low,Low,Medium,Private,College,72
21,67,93,High,Low,High,Public,College,66
12,100,64,Medium,Medium,High,Public,High School,69
22,65,74,High,Medium,Medium,Public,College,65
16,61,64,Medium,Low,High,Public,High School,62
17,96,61,Low,Low,High,Public,College,69
24,70,71,Medium,Medium,Low,Public,High School,65
27,89,67,Medium,Low,Low,Private,College,69
20,92,89,Medium,Low,Medium,Public,High School,69
22,94,87,Medium,Low,,Private,College,73
30,100,68,Low,Medium,Medium,Private,Postgraduate,75
21,72,100,Medium,Low,High,Private,College,70
36,88,99,High,Low,Medium,Private,College,74
23,65,96,Medium,Low,Low,Public,High School,65
9,76,79,Medium,Medium,Medium,Public,College,63
25,94,71,Low,Medium,High,Public,College,74
22,75,66,Low,Low,Medium,Private,Postgraduate,67
28,84,51,Medium,Medium,Medium,Public,Postgraduate,71
24,80,82,Medium,Low,High,Public,College,68
19,86,78,Medium,Medium,Medium,Public,College,69
13,99,81,Medium,Medium,Medium,Public,Postgraduate,71
19,62,79,Low,Medium,Medium,Public,High School,66
15,83,57,Low,Medium,Medium,Private,Postgraduate,65
17,95,85,Low,Low,High,Private,College,66
24,79,68,High,Low,Medium,Private,High School,65
30,63,76,Medium,Medium,Medium,Public,Postgraduate,67
22,82,68,High,Low,Medium,Private,Postgraduate,70
13,73,51,Medium,Low,Medium,Public,Postgraduate,63
23,66,94,Low,Medium,High,Private,Postgraduate,64
27,94,57,Medium,Medium,Medium,Private,High School,71
16,81,79,Medium,Low,High,Public,College,68
19,97,94,Medium,High,Medium,Public,Postgraduate,72
20,92,61,Medium,High,Medium,Public,College,71
15,88,71,Medium,Low,Low,Private,Postgraduate,64
24,60,69,Medium,Medium,High,Public,High School,64
19,77,54,Low,High,Medium,Private,College,66
23,68,71,High,Medium,,Public,High School,68
15,96,74,Medium,Low,Low,Private,High School,68
17,67,51,Medium,Low,Medium,Public,High School,65
24,71,74,Medium,Medium,Medium,Private,High School,67
18,81,55,Low,Low,Medium,Public,High School,64
30,71,95,High,Medium,Medium,Public,College,70
18,68,83,Low,Low,Medium,Public,College,65
21,84,53,Low,Medium,High,Public,High School,65
26,64,91,High,Medium,Medium,Public,High School,68
11,62,68,Medium,High,Medium,Public,High School,61
9,75,61,High,Medium,,Public,High School,63
11,89,63,Medium,Medium,Medium,Public,College,65
28,82,80,Medium,Low,Medium,Private,High School,69
17,77,54,Low,Low,High,Public,College,64
35,83,53,Medium,Low,Medium,Private,High School,69
17,75,81,Low,High,Medium,Public,Postgraduate,67
21,97,99,High,Medium,High,Public,Postgraduate,74
29,62,74,Medium,Low,Medium,Private,College,66
32,87,71,Medium,High,Low,Public,College,72
32,96,97,Low,Low,Medium,Public,College,73
27,92,62,High,Medium,High,Public,College,73
26,67,62,High,Medium,Medium,Public,High School,63
24,72,95,Medium,Low,Medium,Public,Postgraduate,69
25,89,82,High,Low,Medium,Public,Postgraduate,71
17,63,53,High,Low,High,Public,College,63
15,92,84,Medium,High,Low,Public,High School,69
20,89,91,Low,Medium,Medium,Private,College,72
19,89,64,Medium,Low,Medium,Public,Postgraduate,68
17,64,69,Medium,Medium,Medium,Public,High School,62
24,89,60,Medium,Low,Medium,Private,High School,68
26,87,82,High,Low,Medium,Public,Postgraduate,71
21,93,83,Low,High,High,Public,High School,67
29,62,53,High,Low,Medium,Private,College,65
13,61,84,High,Medium,High,Public,Postgraduate,60
19,75,83,High,High,Medium,Public,High School,68
16,66,52,Medium,Medium,Low,Public,High School,59
9,82,78,Medium,High,Medium,Public,,64
20,97,81,High,Low,Low,Public,High School,71
19,76,72,Low,High,,Public,College,68
29,94,95,Medium,Low,Medium,Public,College,70
24,60,66,Medium,Medium,High,Public,College,62
14,67,53,Medium,High,Medium,Public,College,62
31,61,84,Medium,Medium,Medium,Private,High School,68
27,73,80,Low,Medium,Medium,Private,High School,68
23,96,99,High,Low,Low,Public,High School,74
19,64,62,Medium,High,Medium,Public,College,61
14,84,70,Medium,Low,High,Public,College,67
18,78,73,Medium,High,High,Public,High School,65
27,98,93,Low,High,High,Public,High School,101
31,65,71,Medium,Low,Medium,Public,High School,65
29,68,89,Medium,Medium,Medium,Private,College,67
17,61,58,Low,Low,Medium,Public,High School,61
13,77,70,Medium,Medium,High,Public,High School,64
21,71,58,High,Medium,High,Public,College,64
9,95,97,Medium,Low,Low,Public,College,67
22,84,59,Medium,High,High,Private,College,69
19,85,71,Low,Medium,High,Public,Postgraduate,69
17,81,54,Medium,Low,Medium,Public,High School,67
10,64,96,Medium,Medium,Medium,Public,High School,62
23,78,81,Medium,Low,Medium,Private,High School,66
17,100,98,Low,Medium,High,Public,College,72
13,93,52,Low,Medium,Medium,Public,College,67
3,96,59,Medium,Low,Medium,Public,College,66
20,93,69,Medium,Low,Medium,Public,High School,67
31,64,81,Low,Medium,Medium,Public,High School,67
30,69,66,Medium,Medium,Low,Public,Postgraduate,68
17,60,86,Medium,Low,High,Public,High School,63
16,72,58,Low,Medium,Medium,Public,High School,62
23,64,80,Low,Medium,High,Public,College,65
14,79,70,Medium,Low,Medium,Public,College,65
22,87,75,Medium,Medium,High,Public,College,70
25,95,78,Medium,Low,Medium,Public,High School,73
27,90,53,Medium,Medium,High,Public,Postgraduate,73
19,98,96,Medium,Low,Medium,Private,High School,68
19,62,89,High,Medium,Medium,Public,High School,63
15,60,72,High,High,High,Public,High School,62
15,86,77,Medium,Medium,Medium,Public,Postgraduate,69
19,72,52,Medium,Medium,Medium,Public,Postgraduate,66
22,70,75,High,Medium,Medium,Private,Postgraduate,68
25,73,71,Low,Low,Medium,Private,College,67
15,71,69,Low,Low,High,Private,College,65
29,80,91,High,High,Medium,Public,College,70
18,78,59,High,High,High,Private,High School,64
20,80,59,High,Medium,High,Private,High School,65
16,87,76,High,Low,High,Private,Postgraduate,67
5,75,84,Medium,High,Medium,Private,Postgraduate,62
25,70,51,High,Low,Medium,Public,High School,66
24,67,77,Low,High,Medium,Public,College,68
18,74,65,High,Medium,High,Public,College,64
20,90,88,Medium,Low,Medium,Public,High School,69
23,90,73,Low,High,Medium,Private,High School,69
11,87,92,Medium,Medium,Medium,Public,High School,67
17,69,70,Low,Low,High,Public,College,61
25,84,91,Low,Medium,Medium,Public,Postgraduate,70
12,83,86,Low,High,Medium,Public,College,65
22,79,91,Low,Low,Medium,Public,College,66
12,82,91,Medium,Low,Medium,Public,Postgraduate,66
23,80,74,Medium,Medium,Medium,Public,High School,69
20,83,68,High,Medium,Medium,Public,High School,67
10,89,88,Medium,High,Medium,Private,Postgraduate,71
27,64,68,High,Low,High,Private,High School,68
16,90,54,High,Medium,Medium,Public,High School,67
15,65,93,Low,Low,Medium,Public,High School,63
21,63,70,Low,High,High,Private,College,64
27,99,57,Medium,Low,Medium,Public,College,73
14,98,82,High,Low,Medium,Private,High School,69
20,62,94,High,Medium,Medium,Public,High School,65
23,78,93,Medium,Medium,High,Private,Postgraduate,70
24,67,78,Low,Low,High,Public,High School,67
21,79,54,High,Low,Medium,Public,Postgraduate,67
18,93,85,Medium,Low,Medium,Public,High School,70
15,98,80,Low,High,High,Public,Postgraduate,69
21,85,61,High,Medium,Medium,Public,High School,68
14,74,95,High,Low,High,Public,College,66
2,84,54,Low,Low,Low,Public,,62
23,72,69,Low,High,Medium,Public,High School,67
25,96,55,High,Medium,High,Public,High School,71
6,95,96,Medium,Low,Medium,Public,High School,68
14,82,52,High,Low,Medium,Public,High School,66
24,73,71,High,Low,Medium,Public,High School,64
32,72,93,Low,Low,Medium,Private,Postgraduate,71
20,61,63,Medium,Medium,High,Public,College,61
16,93,55,Medium,Low,Medium,Public,College,67
19,78,56,Low,High,Medium,Public,College,65
28,73,70,Low,Low,Medium,Private,College,66
16,79,71,Medium,Low,High,Public,High School,68
15,93,86,Medium,Low,Medium,Public,College,66
17,65,62,Medium,Medium,Medium,Public,High School,63
14,94,85,Low,High,Medium,Public,High School,66
21,96,100,Medium,High,Medium,Private,College,73
30,98,93,Medium,Low,Low,Private,High School,88
22,76,82,High,Medium,High,Private,High School,67
18,69,97,Medium,Medium,Medium,Public,College,69
18,75,100,High,Low,Medium,Public,High School,67
11,73,79,Medium,Low,High,Public,High School,64
25,67,64,Medium,Low,Medium,Public,High School,64
20,84,96,Low,Low,Medium,Public,High School,65
19,79,92,High,Medium,High,Public,High School,68
39,95,54,High,Medium,Medium,Private,High School,77
22,61,97,High,Low,High,Public,High School,63
15,86,68,Medium,High,Medium,Public,College,69
17,91,66,Medium,Medium,Low,Public,College,69
27,90,67,Medium,Medium,Medium,Public,Postgraduate,70
21,95,66,High,Medium,High,Public,College,73
11,89,76,Medium,Medium,High,Public,Postgraduate,66
26,97,79,High,Low,Low,Private,High School,71
16,73,71,Medium,High,High,Public,College,66
31,80,71,High,Low,High,Public,High School,71
26,61,87,Medium,High,High,Public,High School,66
17,60,50,High,Low,High,Public,High School,63
28,70,97,Medium,Low,Low,Public,High School,70
20,64,86,Medium,Medium,Medium,Public,Postgraduate,66
25,70,85,Medium,Medium,Medium,Public,High School,66
23,67,71,High,Medium,Medium,Public,College,66
15,61,98,Medium,Medium,Medium,Public,High School,62
16,96,50,High,Medium,High,Public,College,69
26,60,54,Low,Low,Medium,Private,Postgraduate,63
18,89,90,Low,High,Medium,Public,Postgraduate,68
18,66,87,Medium,Medium,Low,Private,High School,64
14,96,64,High,Low,High,Public,Postgraduate,69
23,96,80,Low,Low,High,Public,High School,71
32,86,77,Medium,Medium,Low,Private,High School,71
14,87,76,Medium,Low,Medium,Private,College,66
20,60,80,Low,High,Medium,Private,College,63
28,99,100,Low,Medium,Medium,Public,High School,72
20,95,99,Low,Low,Medium,Private,College,70
23,96,99,Medium,High,Medium,Private,College,71
14,86,77,Medium,High,Medium,Private,High School,65
23,74,66,Low,High,Medium,Public,Postgraduate,65
19,96,78,High,Low,Low,Public,High School,67
26,72,81,High,Medium,High,Public,High School,68
27,83,66,Medium,Medium,Medium,Public,College,70
36,64,82,Medium,Medium,High,Private,High School,70
23,97,81,Low,Medium,High,Public,High School,72
22,66,95,Medium,Low,Low,Public,College,65
21,69,62,High,Low,Medium,Public,High School,65
18,82,85,High,Medium,High,Private,Postgraduate,71
22,91,73,Low,High,Medium,Public,Postgraduate,74
18,85,56,Low,Low,Medium,Private,High School,64
21,69,66,High,Medium,Medium,Private,High School,64
28,60,53,Low,Low,Medium,Private,High School,65
14,90,66,Medium,Medium,Medium,Public,College,67
27,99,53,Low,Low,High,Public,College,73
28,92,96,High,Medium,Low,Public,College,72
19,78,55,Low,Medium,Medium,Public,College,65
7,96,91,Medium,Low,Medium,Public,College,67
16,76,95,Low,Medium,Medium,Public,High School,66
28,81,73,Low,Medium,High,Public,Postgraduate,70
20,79,53,Medium,Medium,Medium,Private,High School,66
14,78,80,Low,Medium,Medium,Public,High School,66
17,91,62,Low,High,Medium,Public,Postgraduate,68
25,81,59,Low,Low,Medium,Public,College,68
23,73,78,Low,High,Medium,Public,High School,67
19,70,68,High,Low,Medium,Public,College,65
18,62,87,Medium,Low,Medium,Public,College,64
18,83,80,High,High,High,Public,College,70
14,69,91,Medium,High,Medium,Public,College,63
30,66,53,Low,Low,Medium,Public,High School,65
18,86,62,Medium,Medium,Medium,Public,Postgraduate,67
27,87,78,Low,Low,Medium,Private,High School,71
29,90,94,Medium,Low,Low,Private,High School,73
26,80,91,Low,Low,Medium,Private,High School,67
17,96,84,Medium,Low,High,Private,College,72
22,97,79,High,Medium,High,Public,High School,71
20,92,82,High,Medium,Medium,Public,Postgraduate,72
15,85,61,Medium,Medium,High,Public,High School,68
22,72,80,Medium,Low,High,Public,College,65
13,99,75,Low,Medium,Medium,Public,College,68
27,71,69,Medium,High,Medium,Public,College,67
17,68,94,High,High,Medium,Private,College,66
21,78,91,Medium,Medium,Low,Private,High School,64
22,62,54,Medium,Low,Medium,Private,Postgraduate,65
18,99,99,Medium,Low,Medium,Public,High School,69
24,84,61,Medium,Medium,Medium,Public,High School,68
17,82,61,Medium,Medium,Medium,Public,Postgraduate,69
25,86,97,Low,High,Medium,Private,High School,70
12,80,72,Medium,High,Medium,Private,High School,65
21,61,90,Low,Medium,Low,Public,High School,63
32,84,64,Medium,Low,High,Private,College,71
14,89,94,Low,Low,Medium,Private,Postgraduate,68
16,77,92,High,Low,High,Public,Postgraduate,70
23,90,76,High,Medium,Low,Public,High School,72
21,69,85,Medium,Low,Low,Public,College,64
22,69,98,Low,Low,Medium,Public,Postgraduate,64
23,66,73,High,High,Medium,Public,College,66
24,75,75,High,Medium,High,Public,College,69
27,94,86,Medium,Medium,Medium,Private,High School,71
22,93,69,High,High,Low,Public,High School,69
19,75,98,Low,Low,Medium,Public,Postgraduate,67
24,84,52,Medium,Low,High,Public,High School,66
31,89,70,Medium,Low,High,Public,High School,71
19,70,86,Low,High,Medium,Public,High School,63
14,67,71,Medium,High,Medium,Public,College,62
27,99,63,Medium,Medium,High,Public,High School,73
19,85,71,Low,Medium,High,Public,High School,66
7,99,94,Medium,High,High,Public,Postgraduate,72
25,74,77,Low,Low,Medium,Public,Postgraduate,67
17,88,67,Medium,Medium,High,Public,Postgraduate,65
19,69,84,Medium,Medium,Medium,Public,High School,66
22,70,81,Low,Medium,Medium,Public,Postgraduate,68
21,80,78,Medium,Medium,High,Private,High School,69
24,73,70,Medium,High,Medium,Public,Postgraduate,68
17,67,54,Medium,Low,Medium,Public,High School,61
23,71,81,Medium,Medium,High,Private,High School,68
18,61,71,Low,High,High,Private,College,64
24,88,71,Low,Low,High,Public,College,67
24,80,62,High,High,Low,Public,High School,68
14,64,62,Low,Medium,High,Public,High School,61
27,67,89,Low,Low,Low,Public,Postgraduate,66
17,64,74,Low,Medium,Low,Public,Postgraduate,64
25,85,55,Low,High,Medium,Public,High School,67
22,64,52,Low,High,Medium,Private,College,64
31,90,61,Low,Low,Medium,Public,High School,72
19,61,74,Low,High,Medium,Public,Postgraduate,62
18,70,81,Low,Low,Medium,Private,High School,63
20,96,57,Low,Low,Medium,Private,High School,70
18,89,72,Low,Medium,Medium,Public,College,69
25,63,54,Medium,Medium,Low,Public,High School,64
10,93,52,Medium,Medium,Medium,Public,Postgraduate,66
14,80,93,Medium,Low,High,Private,High School,67
14,94,83,Medium,Medium,Low,Public,Postgraduate,71
26,84,89,Medium,Low,High,Private,High School,70
30,87,59,Medium,Medium,Medium,Public,High School,69
19,100,66,High,Low,Medium,Public,,68
19,69,72,Medium,Low,Medium,Public,College,64
20,85,83,Low,Medium,Medium,Public,College,70
27,78,77,Medium,Medium,Low,Private,Postgraduate,69
14,62,78,Medium,High,,Public,College,63
21,61,58,Medium,Medium,Low,Public,High School,60
26,65,74,Medium,Low,Medium,Public,High School,65
23,86,91,Medium,Low,Medium,Public,High School,67
21,83,75,Low,Medium,Medium,Public,College,66
26,82,60,Medium,Low,Medium,Public,Postgraduate,68
4,61,71,High,Low,Low,Public,Postgraduate,58
24,79,88,Medium,Medium,Medium,Public,High School,67
16,97,57,Low,Medium,Medium,Public,,68
9,76,79,Medium,Low,Medium,Public,High School,62
23,85,98,High,Low,Medium,Public,Postgraduate,69
28,91,69,High,Medium,High,Private,High School,73
19,91,52,Medium,Low,Medium,Public,High School,66
26,81,82,Medium,Medium,Medium,Public,Postgraduate,67
30,94,52,Medium,Medium,Low,Public,High School,71
28,76,60,Medium,Low,Medium,Public,High School,66
30,96,52,Medium,High,High,Public,College,74
24,70,59,Low,Low,High,Public,High School,67
20,71,93,High,Medium,High,Public,Postgraduate,68
10,62,87,High,Low,High,Public,High School,61
19,92,67,Medium,Medium,Medium,Private,High School,69
15,77,95,Low,Low,Medium,Public,High School,65
