"Hours_Studied","Attendance","Previous_Scores","Motivation_Level","Family_Income","Teacher_Quality","School_Type","Parental_Education_Level","Exam_Score","gruppi","Previous_Level","Score_Groups","Study_level"
25,74,77,"Low","Low","Medium","Public","Postgraduate",67,"21-30","2","2","3"
17,88,67,"Medium","Medium","High","Public","Postgraduate",65,"11-20","2","1","2"
19,69,84,"Medium","Medium","Medium","Public","High School",66,"11-20","2","2","2"
22,70,81,"Low","Medium","Medium","Public","Postgraduate",68,"21-30","2","2","3"
21,80,78,"Medium","Medium","High","Private","High School",69,"21-30","2","2","3"
24,73,70,"Medium","High","Medium","Public","Postgraduate",68,"21-30","2","2","3"
17,67,54,"Medium","Low","Medium","Public","High School",61,"11-20","1","1","2"
23,71,81,"Medium","Medium","High","Private","High School",68,"21-30","2","2","3"
18,61,71,"Low","High","High","Private","College",64,"11-20","2","1","2"
24,88,71,"Low","Low","High","Public","College",67,"21-30","2","2","3"
24,80,62,"High","High","Low","Public","High School",68,"21-30","1","2","3"
14,64,62,"Low","Medium","High","Public","High School",61,"11-20","1","1","2"
27,67,89,"Low","Low","Low","Public","Postgraduate",66,"21-30","3","2","3"
17,64,74,"Low","Medium","Low","Public","Postgraduate",64,"11-20","2","1","2"
25,85,55,"Low","High","Medium","Public","High School",67,"21-30","1","2","3"
22,64,52,"Low","High","Medium","Private","College",64,"21-30","1","1","3"
31,90,61,"Low","Low","Medium","Public","High School",72,"30+","1","3","4"
19,61,74,"Low","High","Medium","Public","Postgraduate",62,"11-20","2","1","2"
18,70,81,"Low","Low","Medium","Private","High School",63,"11-20","2","1","2"
20,96,57,"Low","Low","Medium","Private","High School",70,"11-20","1","3","3"
18,89,72,"Low","Medium","Medium","Public","College",69,"11-20","2","2","2"
25,63,54,"Medium","Medium","Low","Public","High School",64,"21-30","1","1","3"
10,93,52,"Medium","Medium","Medium","Public","Postgraduate",66,"0-10","1","2","2"
14,80,93,"Medium","Low","High","Private","High School",67,"11-20","3","2","2"
14,94,83,"Medium","Medium","Low","Public","Postgraduate",71,"11-20","2","3","2"
26,84,89,"Medium","Low","High","Private","High School",70,"21-30","3","3","3"
30,87,59,"Medium","Medium","Medium","Public","High School",69,"21-30","1","2","4"
19,100,66,"High","Low","Medium","Public","",68,"11-20","2","2","2"
19,69,72,"Medium","Low","Medium","Public","College",64,"11-20","2","1","2"
20,85,83,"Low","Medium","Medium","Public","College",70,"11-20","2","3","3"
27,78,77,"Medium","Medium","Low","Private","Postgraduate",69,"21-30","2","2","3"
14,62,78,"Medium","High","","Public","College",63,"11-20","2","1","2"
21,61,58,"Medium","Medium","Low","Public","High School",60,"21-30","1","1","3"
26,65,74,"Medium","Low","Medium","Public","High School",65,"21-30","2","1","3"
23,86,91,"Medium","Low","Medium","Public","High School",67,"21-30","3","2","3"
21,83,75,"Low","Medium","Medium","Public","College",66,"21-30","2","2","3"
26,82,60,"Medium","Low","Medium","Public","Postgraduate",68,"21-30","1","2","3"
4,61,71,"High","Low","Low","Public","Postgraduate",58,"0-10","2","1","1"
24,79,88,"Medium","Medium","Medium","Public","High School",67,"21-30","3","2","3"
16,97,57,"Low","Medium","Medium","Public","",68,"11-20","1","2","2"
9,76,79,"Medium","Low","Medium","Public","High School",62,"0-10","2","1","1"
23,85,98,"High","Low","Medium","Public","Postgraduate",69,"21-30","3","2","3"
28,91,69,"High","Medium","High","Private","High School",73,"21-30","2","3","3"
19,91,52,"Medium","Low","Medium","Public","High School",66,"11-20","1","2","2"
26,81,82,"Medium","Medium","Medium","Public","Postgraduate",67,"21-30","2","2","3"
30,94,52,"Medium","Medium","Low","Public","High School",71,"21-30","1","3","4"
28,76,60,"Medium","Low","Medium","Public","High School",66,"21-30","1","2","3"
30,96,52,"Medium","High","High","Public","College",74,"21-30","1","3","4"
24,70,59,"Low","Low","High","Public","High School",67,"21-30","1","2","3"
20,71,93,"High","Medium","High","Public","Postgraduate",68,"11-20","3","2","3"
10,62,87,"High","Low","High","Public","High School",61,"0-10","2","1","2"
19,92,67,"Medium","Medium","Medium","Private","High School",69,"11-20","2","2","2"
15,77,95,"Low","Low","Medium","Public","High School",65,"11-20","3","1","2"
33,69,83,"Medium","Medium","Low","Public","Postgraduate",71,"30+","2","3","4"
19,69,72,"Medium","Low","Low","Public","High School",61,"11-20","2","1","2"
21,96,53,"Medium","Low","High","Public","College",70,"21-30","1","3","3"
23,93,87,"Medium","Medium","Medium","Private","High School",70,"21-30","2","3","3"
20,82,69,"Low","Medium","Medium","Public","College",69,"11-20","2","2","3"
30,85,65,"High","Low","Medium","Public","High School",70,"21-30","2","3","4"
16,79,64,"Medium","Low","Low","Public","College",67,"11-20","2","2","2"
21,76,50,"Low","Low","Medium","Public","Postgraduate",63,"21-30","1","1","3"
16,97,87,"Medium","High","Medium","Public","High School",70,"11-20","2","3","2"
12,65,57,"Medium","High","High","Private","High School",61,"11-20","1","1","2"
16,77,76,"Low","Low","Medium","Public","Postgraduate",64,"11-20","2","1","2"
20,74,51,"High","Medium","Medium","Public","College",65,"11-20","1","1","3"
17,80,81,"Medium","Medium","High","Public","College",65,"11-20","2","1","2"
16,78,68,"High","Low","High","Private","Postgraduate",66,"11-20","2","2","2"
12,81,82,"Low","Medium","High","Public","High School",66,"11-20","2","2","2"
20,66,54,"Medium","Medium","Low","Public","Postgraduate",63,"11-20","1","1","3"
11,81,63,"Medium","Medium","Medium","Public","Postgraduate",66,"11-20","1","2","2"
25,70,56,"High","Low","Medium","Public","High School",64,"21-30","1","1","3"
20,67,82,"Medium","Low","High","Public","High School",65,"11-20","2","1","3"
11,63,55,"Low","High","Medium","Private","Postgraduate",62,"11-20","1","1","2"
18,91,81,"High","High","Medium","Public","High School",71,"11-20","2","3","2"
15,77,57,"Low","Low","Medium","Public","College",63,"11-20","1","1","2"
22,85,97,"High","Medium","High","Public","College",70,"21-30","3","3","3"
28,89,71,"Low","Low","Medium","Private","College",70,"21-30","2","3","3"
9,87,56,"Medium","Medium","High","Public","College",65,"0-10","1","1","1"
21,79,52,"Medium","Low","","Public","High School",66,"21-30","1","2","3"
19,76,66,"Medium","Medium","Medium","Private","College",66,"11-20","2","2","2"
24,75,95,"High","Medium","High","Public","College",68,"21-30","3","2","3"
21,86,57,"Medium","Low","Medium","Private","High School",68,"21-30","1","2","3"
15,80,90,"Medium","Medium","High","Private","High School",69,"11-20","3","2","2"
18,94,71,"Medium","High","Low","Public","College",71,"11-20","2","3","2"
15,95,90,"Low","Low","","Private","Postgraduate",69,"11-20","3","2","2"
26,67,94,"Medium","Medium","Medium","Public","College",68,"21-30","3","2","3"
20,65,100,"Medium","Low","High","Public","High School",67,"11-20","3","2","3"
31,85,53,"Medium","Low","High","Public","High School",72,"30+","1","3","4"
20,72,90,"High","Medium","Medium","Public","High School",68,"11-20","3","2","3"
16,61,53,"Low","High","Medium","Public","High School",60,"11-20","1","1","2"
11,96,66,"High","Low","Medium","Public","High School",68,"11-20","2","2","2"
9,69,82,"High","High","High","Public","High School",65,"0-10","2","1","1"
10,97,72,"High","Low","Medium","Public","Postgraduate",67,"0-10","2","2","2"
22,89,78,"Low","High","Medium","Private","High School",70,"21-30","2","3","3"
23,91,98,"High","Low","High","Private","High School",70,"21-30","3","3","3"
11,68,91,"Low","Low","High","Public","College",61,"11-20","3","1","2"
25,69,68,"Medium","High","High","Public","College",68,"21-30","2","2","3"
17,81,80,"High","Low","Medium","Public","Postgraduate",67,"11-20","2","2","2"
21,67,52,"Medium","Low","Medium","Public","High School",62,"21-30","1","1","3"
30,72,73,"Medium","High","Medium","Public","High School",66,"21-30","2","2","4"
25,73,80,"Medium","High","Medium","Public","High School",69,"21-30","2","2","3"
18,66,86,"Medium","Medium","Medium","Public","College",66,"11-20","2","2","2"
15,68,95,"Medium","High","Medium","Public","College",64,"11-20","3","1","2"
7,92,64,"High","Low","Low","Public","Postgraduate",66,"0-10","2","2","1"
16,67,95,"Low","Medium","Medium","Public","High School",63,"11-20","3","1","2"
19,61,83,"Low","Medium","Medium","Private","High School",62,"11-20","2","1","2"
14,85,54,"Low","High","Medium","Private","Postgraduate",65,"11-20","1","1","2"
19,99,69,"Low","High","Medium","Private","High School",68,"11-20","2","2","2"
20,73,74,"Low","Low","Low","Private","High School",65,"11-20","2","1","3"
19,65,68,"Low","Low","Low","Public","College",63,"11-20","2","1","2"
16,83,56,"Medium","Medium","Medium","Public","High School",68,"11-20","1","2","2"
21,96,78,"Low","High","Medium","Private","High School",72,"21-30","2","3","3"
23,91,57,"Medium","Low","Medium","Private","High School",69,"21-30","1","2","3"
13,85,96,"Low","Low","High","Public","Postgraduate",66,"11-20","3","2","2"
28,73,93,"High","Low","High","Private","College",68,"21-30","3","2","3"
19,82,74,"Medium","Medium","High","Public","High School",64,"11-20","2","1","2"
20,64,53,"Low","Low","Medium","Public","High School",61,"11-20","1","1","3"
24,87,78,"High","Low","Low","Public","Postgraduate",67,"21-30","2","2","3"
21,89,80,"Medium","Medium","Low","Public","Postgraduate",68,"21-30","2","2","3"
26,99,94,"High","Medium","Medium","Public","High School",74,"21-30","3","3","3"
22,70,53,"Medium","Medium","High","Public","High School",67,"21-30","1","2","3"
16,61,85,"Medium","Medium","Medium","Private","High School",64,"11-20","2","1","2"
22,82,78,"Medium","Medium","High","Public","High School",69,"21-30","2","2","3"
13,88,59,"Medium","Low","Medium","Private","High School",63,"11-20","1","1","2"
21,92,56,"Medium","Low","Medium","Private","High School",67,"21-30","1","2","3"
20,68,85,"Medium","Medium","Medium","Public","College",65,"11-20","2","1","3"
19,70,67,"Medium","Medium","Low","Public","Postgraduate",67,"11-20","2","2","2"
19,81,100,"Medium","Low","Medium","Private","Postgraduate",68,"11-20","3","2","2"
9,73,95,"Medium","Low","Medium","Private","Postgraduate",62,"0-10","3","1","1"
17,94,78,"Medium","Low","High","Public","College",70,"11-20","2","3","2"
21,79,82,"Medium","High","Medium","Public","High School",67,"21-30","2","2","3"
21,92,58,"Medium","High","Medium","Public","High School",89,"21-30","1","3","3"
14,83,95,"Low","Low","Medium","Private","High School",65,"11-20","3","1","2"
28,91,73,"Medium","Medium","Medium","Public","High School",69,"21-30","2","2","3"
15,73,76,"High","Low","Medium","Public","High School",64,"11-20","2","1","2"
26,93,94,"Medium","High","Medium","Private","High School",74,"21-30","3","3","3"
23,71,50,"Medium","High","Medium","Public","High School",64,"21-30","1","1","3"
16,82,75,"Medium","Low","Medium","Public","Postgraduate",64,"11-20","2","1","2"
31,69,81,"Medium","Medium","Medium","Private","College",67,"30+","2","2","4"
13,79,58,"High","Medium","Medium","Public","College",63,"11-20","1","1","2"
26,73,53,"Low","Medium","High","Private","High School",68,"21-30","1","2","3"
26,71,77,"Low","Medium","Medium","Public","Postgraduate",66,"21-30","2","2","3"
16,99,77,"High","Low","Medium","Public","High School",68,"11-20","2","2","2"
28,66,67,"Medium","High","Medium","Private","Postgraduate",68,"21-30","2","2","3"
18,91,94,"Medium","Low","Medium","Private","High School",69,"11-20","3","2","2"
22,99,65,"Medium","Low","Low","Public","Postgraduate",71,"21-30","2","3","3"
22,61,76,"Medium","High","Medium","Public","College",65,"21-30","2","1","3"
19,88,59,"Medium","Medium","Medium","Private","High School",67,"11-20","1","2","2"
25,70,51,"Medium","High","Medium","Public","College",65,"21-30","1","1","3"
25,62,71,"Medium","Low","High","Private","High School",65,"21-30","2","1","3"
10,76,76,"Medium","High","High","Public","Postgraduate",80,"0-10","2","3","2"
28,97,88,"High","Medium","Medium","Public","High School",74,"21-30","3","3","3"
10,60,72,"Low","Medium","Low","Public","High School",59,"0-10","2","1","2"
26,84,64,"Low","High","High","Public","High School",69,"21-30","2","2","3"
27,80,80,"Medium","High","Medium","Public","High School",66,"21-30","2","2","3"
13,95,69,"Medium","Low","Low","Public","Postgraduate",66,"11-20","2","2","2"
18,63,62,"Medium","High","Medium","Public","High School",65,"11-20","1","1","2"
13,87,96,"Low","Low","Low","Public","College",67,"11-20","3","2","2"
19,87,77,"Low","Low","Medium","Private","High School",69,"11-20","2","2","2"
18,87,60,"High","Medium","Medium","Public","High School",68,"11-20","1","2","2"
25,98,84,"Medium","Medium","High","Private","Postgraduate",73,"21-30","2","3","3"
28,93,90,"Medium","Low","Medium","Public","High School",71,"21-30","3","3","3"
28,62,88,"Medium","Low","High","Public","Postgraduate",67,"21-30","3","2","3"
17,79,80,"Low","High","High","Public","College",67,"11-20","2","2","2"
19,76,76,"Medium","High","High","Public","Postgraduate",66,"11-20","2","2","2"
10,72,89,"Medium","Medium","Medium","Public","College",63,"0-10","3","1","2"
15,78,85,"Medium","High","Medium","Public","High School",65,"11-20","2","1","2"
26,75,79,"Medium","High","Medium","Public","College",67,"21-30","2","2","3"
30,77,83,"Medium","Low","Low","Public","College",69,"21-30","2","2","4"
13,99,58,"Medium","Low","Medium","Public","High School",67,"11-20","1","2","2"
16,64,51,"High","High","High","Public","College",66,"11-20","1","2","2"
20,97,97,"Low","Medium","High","Private","High School",74,"11-20","3","3","3"
22,79,97,"Medium","High","","Public","College",69,"21-30","3","2","3"
15,85,89,"High","Medium","Medium","Public","College",66,"11-20","3","2","2"
23,93,69,"Low","Medium","Medium","Private","Postgraduate",69,"21-30","2","2","3"
17,74,58,"Low","High","Medium","Public","College",63,"11-20","1","1","2"
20,77,68,"Medium","Medium","High","Private","College",65,"11-20","2","1","3"
23,76,86,"Low","Low","Medium","Private","College",64,"21-30","2","1","3"
20,75,67,"High","Medium","Medium","Private","High School",64,"11-20","2","1","3"
17,97,90,"Low","Medium","Low","Public","High School",69,"11-20","3","2","2"
19,93,84,"Medium","Low","High","Public","High School",73,"11-20","2","3","2"
19,64,81,"High","Medium","Medium","Public","High School",62,"11-20","2","1","2"
18,64,97,"Low","Medium","Low","Private","College",62,"11-20","3","1","2"
18,77,95,"High","Medium","High","Private","Postgraduate",68,"11-20","3","2","2"
30,64,86,"Low","Medium","Medium","Private","Postgraduate",66,"21-30","2","2","4"
23,85,60,"High","Medium","Medium","Public","College",68,"21-30","1","2","3"
18,66,97,"Medium","Medium","Medium","Public","High School",66,"11-20","3","2","2"
24,81,61,"Low","Medium","Medium","Public","Postgraduate",69,"21-30","1","2","3"
18,60,69,"Medium","Medium","Medium","Public","Postgraduate",62,"11-20","2","1","2"
27,73,91,"Medium","High","Medium","Public","College",68,"21-30","3","2","3"
22,87,60,"Low","Medium","High","Public","College",67,"21-30","1","2","3"
19,79,82,"Medium","Low","Medium","Private","High School",65,"11-20","2","1","2"
23,99,73,"Medium","Low","Medium","Public","College",69,"21-30","2","2","3"
11,95,81,"High","Low","Low","Public","High School",67,"11-20","2","2","2"
13,74,98,"High","Medium","Medium","Public","Postgraduate",64,"11-20","3","1","2"
13,62,90,"Medium","High","High","Private","Postgraduate",62,"11-20","3","1","2"
21,94,65,"Low","High","High","Private","High School",71,"21-30","2","3","3"
30,96,53,"Medium","Medium","Medium","Private","High School",72,"21-30","1","3","4"
33,93,98,"Low","Medium","Medium","Public","High School",74,"30+","3","3","4"
24,65,79,"Low","Medium","High","Public","Postgraduate",66,"21-30","2","2","3"
23,100,59,"Medium","Medium","Medium","Public","High School",72,"21-30","1","3","3"
9,70,81,"Medium","High","High","Private","Postgraduate",65,"0-10","2","1","1"
17,89,52,"High","Low","Medium","Public","College",67,"11-20","1","2","2"
15,96,59,"High","Medium","High","Private","High School",70,"11-20","1","3","2"
16,69,82,"Medium","Low","High","Public","High School",62,"11-20","2","1","2"
19,96,70,"High","Low","Medium","Public","High School",66,"11-20","2","2","2"
17,72,66,"Medium","High","High","Public","College",65,"11-20","2","1","2"
8,99,83,"High","Medium","High","Public","Postgraduate",70,"0-10","2","3","1"
24,71,93,"Low","Medium","Medium","Private","College",69,"21-30","3","2","3"
14,98,84,"Low","High","Medium","Public","High School",70,"11-20","2","3","2"
21,62,73,"Medium","High","Medium","Private","College",66,"21-30","2","2","3"
32,88,83,"Low","Low","High","Private","Postgraduate",73,"30+","2","3","4"
14,81,85,"Low","Medium","High","Public","Postgraduate",69,"11-20","2","2","2"
5,79,89,"Low","Medium","Medium","Private","College",66,"0-10","3","2","1"
18,69,65,"Medium","Medium","Medium","Public","High School",65,"11-20","2","1","2"
27,88,56,"High","Low","Medium","Public","Postgraduate",70,"21-30","1","3","3"
32,68,84,"Medium","Medium","High","Private","Postgraduate",70,"30+","2","3","4"
13,82,56,"High","Low","High","Public","Postgraduate",67,"11-20","1","2","2"
23,70,73,"High","Low","Medium","Private","Postgraduate",68,"21-30","2","2","3"
17,98,62,"Low","Medium","Medium","Private","College",68,"11-20","1","2","2"
19,61,67,"Medium","Low","Medium","Public","College",61,"11-20","2","1","2"
36,68,74,"High","Medium","Medium","Public","High School",70,"30+","2","3","4"
11,70,95,"High","Low","High","Public","College",65,"11-20","3","1","2"
22,77,84,"Medium","High","Medium","Public","High School",66,"21-30","2","2","3"
23,69,59,"Medium","High","Medium","Public","Postgraduate",67,"21-30","1","2","3"
27,80,94,"High","High","Medium","Public","High School",69,"21-30","3","2","3"
21,95,75,"Medium","Low","Medium","Public","College",69,"21-30","2","2","3"
22,88,60,"Low","Low","Medium","Public","High School",67,"21-30","1","2","3"
18,83,76,"Medium","Medium","Low","Private","High School",66,"11-20","2","2","2"
22,64,60,"Medium","High","High","Private","High School",63,"21-30","1","1","3"
18,88,68,"Low","Medium","High","Public","High School",67,"11-20","2","2","2"
24,67,90,"Medium","Low","Medium","Public","College",64,"21-30","3","1","3"
18,91,83,"Medium","Low","Medium","Private","High School",68,"11-20","2","2","2"
22,70,74,"Low","Low","High","Public","",65,"21-30","2","1","3"
20,77,61,"Medium","Medium","Medium","Public","High School",65,"11-20","1","1","3"
27,74,64,"High","Low","Medium","Public","High School",65,"21-30","2","1","3"
20,94,99,"Medium","Medium","Medium","Public","College",70,"11-20","3","3","3"
9,65,67,"Medium","High","Medium","Public","High School",62,"0-10","2","1","1"
28,83,81,"Medium","Low","Medium","Public","High School",68,"21-30","2","2","3"
15,66,75,"Low","High","High","Public","College",62,"11-20","2","1","2"
16,88,51,"Medium","Medium","Medium","Public","College",68,"11-20","1","2","2"
16,96,97,"Medium","Medium","High","Private","College",72,"11-20","3","3","2"
28,77,54,"Low","High","Medium","Public","Postgraduate",70,"21-30","1","3","3"
7,80,83,"Low","Medium","Medium","Public","High School",62,"0-10","2","1","1"
39,97,91,"Medium","Low","Medium","Public","High School",79,"30+","3","3","4"
26,81,87,"Medium","High","High","Public","Postgraduate",73,"21-30","2","3","3"
21,80,90,"High","Low","Low","Public","College",68,"21-30","3","2","3"
20,83,87,"Low","High","Medium","Public","High School",68,"11-20","2","2","3"
22,88,72,"Medium","Low","High","Public","High School",69,"21-30","2","2","3"
23,64,95,"High","Low","Medium","Public","College",63,"21-30","3","1","3"
24,93,96,"Medium","High","Medium","Public","Postgraduate",74,"21-30","3","3","3"
23,77,72,"Medium","High","High","Public","College",69,"21-30","2","2","3"
21,63,74,"Medium","Low","Medium","Public","High School",61,"21-30","2","1","3"
19,91,74,"Low","Medium","Medium","Public","Postgraduate",69,"11-20","2","2","2"
19,75,64,"High","Low","Medium","Public","High School",64,"11-20","2","1","2"
19,64,56,"Low","Low","Medium","Public","Postgraduate",63,"11-20","1","1","2"
27,85,63,"Low","Low","Medium","Public","College",68,"21-30","1","2","3"
24,95,92,"Medium","Low","Medium","Public","High School",72,"21-30","3","3","3"
2,96,77,"Medium","Medium","","Public","High School",65,"0-10","2","1","1"
24,98,93,"Low","Low","Low","Public","College",69,"21-30","3","2","3"
21,95,87,"Low","Medium","Medium","Private","High School",70,"21-30","2","3","3"
20,60,67,"Low","Medium","Medium","Public","Postgraduate",63,"11-20","2","1","3"
18,75,59,"Low","Medium","Medium","Public","High School",62,"11-20","1","1","2"
27,93,78,"Low","Low","Medium","Public","Postgraduate",72,"21-30","2","3","3"
26,75,97,"Medium","Low","Medium","Public","High School",69,"21-30","3","2","3"
15,84,92,"Low","Medium","Medium","Public","High School",66,"11-20","3","2","2"
22,84,88,"Medium","Low","High","Private","Postgraduate",71,"21-30","3","3","3"
14,75,88,"Medium","Low","Medium","Private","College",62,"11-20","3","1","2"
12,96,76,"Medium","Medium","High","Public","High School",68,"11-20","2","2","2"
16,80,58,"Low","Medium","Medium","Public","High School",63,"11-20","1","1","2"
25,79,64,"Medium","Low","Medium","Public","College",66,"21-30","2","2","3"
26,100,79,"High","Medium","High","Public","College",75,"21-30","2","3","3"
23,80,66,"High","High","High","Private","College",69,"21-30","2","2","3"
24,67,89,"Medium","High","Low","Private","High School",68,"21-30","3","2","3"
23,81,69,"Medium","Medium","Medium","Public","High School",69,"21-30","2","2","3"
16,93,56,"Medium","Low","Medium","Public","High School",67,"11-20","1","2","2"
23,91,89,"Medium","Medium","Medium","Private","Postgraduate",73,"21-30","3","3","3"
25,92,85,"Low","Low","Medium","Public","College",71,"21-30","2","3","3"
25,88,63,"Medium","High","Medium","Public","High School",71,"21-30","1","3","3"
27,70,99,"High","Low","Medium","Private","High School",68,"21-30","3","2","3"
24,94,70,"Medium","High","Medium","Public","High School",70,"21-30","2","3","3"
22,96,84,"Low","High","High","Public","High School",71,"21-30","2","3","3"
26,68,96,"High","Medium","High","Public","High School",69,"21-30","3","2","3"
20,65,58,"Medium","Low","Medium","Private","High School",63,"11-20","1","1","3"
15,99,94,"Medium","Medium","Medium","Private","Postgraduate",71,"11-20","3","3","2"
19,95,85,"Medium","Low","Medium","Public","College",69,"11-20","2","2","2"
16,96,58,"Medium","High","Low","Public","Postgraduate",71,"11-20","1","3","2"
16,95,83,"Low","Low","High","Private","High School",68,"11-20","2","2","2"
19,82,94,"Medium","Medium","Medium","Public","High School",68,"11-20","3","2","2"
15,86,90,"Medium","Medium","High","Public","Postgraduate",66,"11-20","3","2","2"
18,82,88,"Medium","Low","Medium","Public","College",67,"11-20","3","2","2"
9,62,58,"Low","Medium","High","Private","College",59,"0-10","1","1","1"
21,90,60,"Medium","Low","Medium","Public","College",66,"21-30","1","2","3"
20,80,77,"Low","Medium","High","Private","High School",64,"11-20","2","1","3"
15,86,79,"Medium","Low","Medium","Public","High School",64,"11-20","2","1","2"
24,80,97,"Medium","Low","High","Private","High School",69,"21-30","3","2","3"
26,80,73,"High","Medium","Medium","Public","High School",69,"21-30","2","2","3"
10,67,65,"Medium","Medium","Medium","Public","High School",61,"0-10","2","1","2"
15,71,60,"Medium","Low","High","Private","High School",62,"11-20","1","1","2"
15,66,53,"Medium","Medium","High","Public","College",61,"11-20","1","1","2"
14,68,53,"High","Medium","High","Private","College",63,"11-20","1","1","2"
25,99,79,"Low","Low","Medium","Public","College",71,"21-30","2","3","3"
19,66,59,"Medium","Medium","Low","Public","Postgraduate",65,"11-20","1","1","2"
18,71,93,"Medium","Low","High","Private","College",68,"11-20","3","2","2"
8,84,80,"Medium","High","High","Public","High School",67,"0-10","2","2","1"
24,84,93,"High","Low","Medium","Public","High School",70,"21-30","3","3","3"
13,66,71,"Medium","Medium","Medium","Public","High School",64,"11-20","2","1","2"
20,92,80,"High","Medium","Medium","Private","College",71,"11-20","2","3","3"
22,91,76,"Low","Medium","Medium","Public","College",71,"21-30","2","3","3"
28,69,99,"Low","High","Medium","Private","High School",67,"21-30","3","2","3"
12,72,90,"Medium","High","Medium","Public","Postgraduate",63,"11-20","3","1","2"
2,98,80,"High","Low","High","Public","High School",66,"0-10","2","2","1"
21,93,80,"Medium","High","Medium","Public","High School",70,"21-30","2","3","3"
31,88,62,"Medium","Low","Medium","Private","High School",70,"30+","1","3","4"
27,63,87,"Medium","Low","High","Private","High School",67,"21-30","2","2","3"
21,77,99,"High","Medium","High","Public","Postgraduate",69,"21-30","3","2","3"
17,82,56,"Low","High","Medium","Public","High School",66,"11-20","1","2","2"
25,67,82,"Medium","Medium","Medium","Public","Postgraduate",67,"21-30","2","2","3"
14,78,76,"Medium","High","Medium","Public","College",65,"11-20","2","1","2"
23,84,93,"Medium","High","Medium","Public","Postgraduate",72,"21-30","3","3","3"
23,73,50,"Medium","Medium","Medium","Public","College",68,"21-30","1","2","3"
26,91,57,"Low","Medium","Medium","Public","College",72,"21-30","1","3","3"
37,94,52,"High","Low","Medium","Private","Postgraduate",76,"30+","1","3","4"
22,73,58,"Medium","Low","Medium","Public","College",65,"21-30","1","1","3"
17,94,85,"Medium","Medium","Low","Public","High School",68,"11-20","2","2","2"
20,64,57,"Medium","Low","High","Public","College",65,"11-20","1","1","3"
9,94,81,"Low","Low","High","Public","High School",66,"0-10","2","2","1"
16,66,93,"Medium","Low","Medium","Public","High School",63,"11-20","3","1","2"
18,63,52,"Medium","High","High","Public","Postgraduate",63,"11-20","1","1","2"
17,86,51,"Medium","Low","Medium","Private","Postgraduate",66,"11-20","1","2","2"
21,79,99,"Medium","Low","High","Public","High School",69,"21-30","3","2","3"
15,96,84,"High","Medium","Low","Public","Postgraduate",72,"11-20","2","3","2"
27,75,57,"Medium","High","Low","Public","High School",66,"21-30","1","2","3"
20,71,65,"Medium","Medium","Medium","Public","High School",64,"11-20","2","1","3"
20,80,99,"Low","Low","High","Private","High School",67,"11-20","3","2","3"
18,78,61,"Low","Low","Medium","Private","High School",67,"11-20","1","2","2"
21,74,88,"Medium","Medium","High","Public","College",66,"21-30","3","2","3"
25,88,62,"Low","Low","Medium","Public","High School",68,"21-30","1","2","3"
15,90,70,"Medium","Medium","Medium","Private","High School",65,"11-20","2","1","2"
16,94,94,"High","Low","High","Private","High School",71,"11-20","3","3","2"
18,99,51,"Medium","Medium","Low","Public","Postgraduate",71,"11-20","1","3","2"
12,71,65,"Medium","Medium","High","Private","High School",62,"11-20","2","1","2"
15,89,74,"Low","Medium","High","Public","College",69,"11-20","2","2","2"
17,76,81,"Low","High","Medium","Private","High School",65,"11-20","2","1","2"
25,87,51,"Low","Medium","Medium","Public","Postgraduate",70,"21-30","1","3","3"
22,79,71,"Medium","Low","","Private","College",66,"21-30","2","2","3"
21,100,67,"Medium","High","Medium","Public","High School",70,"21-30","2","3","3"
25,89,51,"Low","Medium","High","Private","Postgraduate",70,"21-30","1","3","3"
19,98,68,"Medium","Low","Medium","Private","High School",69,"11-20","2","2","2"
22,93,97,"Medium","Medium","Medium","Public","High School",71,"21-30","3","3","3"
19,96,64,"Medium","Medium","Medium","Public","High School",69,"11-20","2","2","2"
22,93,79,"Medium","Medium","High","Public","Postgraduate",73,"21-30","2","3","3"
17,78,65,"Low","Medium","High","Public","High School",65,"11-20","2","1","2"
5,70,55,"Medium","Low","Medium","Public","High School",62,"0-10","1","1","1"
19,75,64,"Medium","High","Low","Public","Postgraduate",67,"11-20","2","2","2"
29,61,74,"High","Medium","Medium","Public","Postgraduate",65,"21-30","2","1","3"
26,81,65,"Low","Medium","Medium","Public","High School",65,"21-30","2","1","3"
26,80,81,"Medium","Medium","Medium","Public","College",70,"21-30","2","3","3"
27,81,97,"Low","Medium","Medium","Public","College",70,"21-30","3","3","3"
21,99,53,"Medium","Medium","Low","Public","Postgraduate",71,"21-30","1","3","3"
21,96,86,"Low","Low","High","Public","College",71,"21-30","2","3","3"
16,66,50,"Low","Medium","High","Public","High School",62,"11-20","1","1","2"
18,75,50,"Medium","Low","Medium","Public","Postgraduate",65,"11-20","1","1","2"
24,77,57,"Medium","Medium","High","Public","College",84,"21-30","1","3","3"
27,74,74,"Medium","Medium","High","Public","College",68,"21-30","2","2","3"
19,92,52,"Medium","High","Medium","Public","High School",70,"11-20","1","3","2"
17,81,86,"Medium","Medium","Medium","Private","Postgraduate",68,"11-20","2","2","2"
20,83,51,"Medium","Low","High","Public","Postgraduate",67,"11-20","1","2","3"
24,94,75,"Low","Low","High","Public","High School",69,"21-30","2","2","3"
11,92,84,"Medium","Low","Low","Public","High School",68,"11-20","2","2","2"
6,65,62,"Medium","Low","Low","Public","High School",59,"0-10","1","1","1"
